PRODUCT_NUMBER,COM_ID,MODULE_VERSION,UI,SUFFIX,ORDER,RELEASE_YEAR
NA-LX127CL-J,NA-LX127C,2,DRUM_LCD,L,14,2023
NA-VG2800L-K,NA-VG2800,2,DRUM_LCD,L/R,15,2023
NA-VG2800R-K,NA-VG2800,2,DRUM_LCD,L/R,16,2023
NA-VG2800L-S,NA-VG2800,2,DRUM_LCD,L/R,17,2023
NA-VG2800R-S,NA-VG2800,2,DRUM_LCD,L/R,18,2023
NA-LX127BL-W,NA-LX127B,2,DRUM_LCD,L/R,19,2022
NA-LX127BR-W,NA-LX127B,2,DRUM_LCD,L/R,20,2022
NA-LX127BL-J,NA-LX127B,2,DRUM_LCD,L/R,21,2022
NA-LX127BR-J,NA-LX127B,2,DRUM_LCD,L/R,22,2022
NA-VG2700L-K,NA-VG2700,2,DRUM_LCD,L/R,23,2022
NA-VG2700R-K,NA-VG2700,2,DRUM_LCD,L/R,24,2022
NA-VG2700L-S,NA-VG2700,2,DRUM_LCD,L/R,25,2022
NA-VG2700R-S,NA-VG2700,2,DRUM_LCD,L/R,26,2022
NA-LX127AL-W,NA-LX127A,2,DRUM_LCD,L/R,27,2021
NA-LX127AR-W,NA-LX127A,2,DRUM_LCD,L/R,28,2021
NA-LX127AL-J,NA-LX127A,2,DRUM_LCD,L/R,29,2021
NA-LX127AR-J,NA-LX127A,2,DRUM_LCD,L/R,30,2021
NA-VG2600L-K,NA-VG2600,2,DRUM_LCD,L/R,31,2021
NA-VG2600R-K,NA-VG2600,2,DRUM_LCD,L/R,32,2021
NA-VG2600L-S,NA-VG2600,2,DRUM_LCD,L/R,33,2021
NA-VG2600R-S,NA-VG2600,2,DRUM_LCD,L/R,34,2021
NA-VG2500L-X,NA-VG2500,1,DRUM_LCD,L/R,35,2020
NA-VG2500R-X,NA-VG2500,1,DRUM_LCD,L/R,36,2020
NA-VG1500L-S,NA-VG1500,1,DRUM_LCD,L/R,37,2020
NA-VG1500R-S,NA-VG1500,1,DRUM_LCD,L/R,38,2020
NA-VG2400L-X,NA-VG2400,1,DRUM_LCD,L/R,39,2019
NA-VG2400R-X,NA-VG2400,1,DRUM_LCD,L/R,40,2019
NA-VG1400L-S,NA-VG1400,1,DRUM_LCD,L/R,41,2019
NA-VG1400L-W,NA-VG1400,1,DRUM_LCD,L/R,42,2019
NA-VG1400R-S,NA-VG1400,1,DRUM_LCD,L/R,43,2019
NA-VG2300L-X,NA-VG2300,1,DRUM_LCD,L/R,44,2018
NA-VG2300R-X,NA-VG2300,1,DRUM_LCD,L/R,45,2018
NA-VG1300L-P,NA-VG1300,1,DRUM_LCD,L/R,46,2018
NA-VG1300L-S,NA-VG1300,1,DRUM_LCD,L/R,47,2018
NA-VG1300R-S,NA-VG1300,1,DRUM_LCD,L/R,48,2018
NA-VG2200L-X,NA-VG2200,1,DRUM_LCD,L/R,49,2017
NA-VG2200R-X,NA-VG2200,1,DRUM_LCD,L/R,50,2017
NA-VG1200L-P,NA-VG1200,1,DRUM_LCD,L/R,51,2017
NA-VG1200L-S,NA-VG1200,1,DRUM_LCD,L/R,52,2017
NA-VG1200R-S,NA-VG1200,1,DRUM_LCD,L/R,53,2017
